ID_Tiket,Tanggal_Penerbangan,Rute,Jarak_km,Cuaca_Keberangkatan,Status_Penerbangan,Waktu_Delay_Menit,Kelas_Kabin,Akses_Lounge,Berat_Bagasi_kg,Harga_Tiket_IDR,Rating_Kepuasan
TKT-5761145,2026-03-23,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Business,Ya,25,504000,10
TKT-4768844,2025-11-28,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,12,1680000,9
TKT-7953166,2025-09-14,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,First Class,Ya,49,5796000,9
TKT-1093026,2026-02-19,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,17,144000,7
TKT-5180853,2025-07-24,Jakarta - Bali (CGK-DPS),980,Hujan Sedang,On Time,0,Business,Ya,34,4116000,8
TKT-9468772,2025-06-26,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,15,1176000,8
TKT-5147994,2025-12-24,Surabaya - Bali (SUB-DPS),300,Hujan Sedang,Delayed,70,Economy,Tidak,20,360000,5
TKT-2299954,2025-09-22,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,12,144000,8
TKT-4879923,2026-02-17,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,7,144000,7
TKT-8816912,2025-08-01,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,Economy,Tidak,18,360000,8
TKT-9002392,2025-10-23,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,Economy,Tidak,5,360000,9
TKT-4700025,2025-07-30,Jakarta - Bali (CGK-DPS),980,Badai Petir,Delayed,186,Business,Ya,33,4116000,5
TKT-7783308,2025-05-23,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,Economy,Tidak,15,360000,9
TKT-1454696,2025-07-06,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,5,144000,8
TKT-6492066,2025-10-23,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,6,1176000,8
TKT-2374158,2025-12-27,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Business,Ya,28,2898000,9
TKT-2151225,2025-06-07,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,First Class,Ya,41,2520000,9
TKT-5002120,2026-02-16,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,5,144000,9
TKT-7189034,2025-12-25,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Business,Ya,34,2898000,10
TKT-1430812,2026-03-11,Jakarta - Surabaya (CGK-SUB),690,Cerah,Delayed,59,Business,Ya,25,2898000,8
TKT-5074336,2025-07-06,Jakarta - Medan (CGK-KNO),1400,Cerah,Delayed,126,Economy,Tidak,11,1680000,2
TKT-6825112,2026-04-14,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,8,1176000,9
TKT-9224219,2025-10-02,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,15,1680000,7
TKT-8306261,2026-02-16,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Business,Ya,34,4116000,10
TKT-5502929,2025-09-24,Jakarta - Surabaya (CGK-SUB),690,Hujan Sedang,Delayed,99,Economy,Tidak,20,828000,5
TKT-7358385,2025-09-10,Jakarta - Medan (CGK-KNO),1400,Hujan Sedang,Delayed,52,Economy,Tidak,19,1680000,6
TKT-6709938,2025-12-24,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,11,1680000,8
TKT-7818732,2026-01-02,Jakarta - Medan (CGK-KNO),1400,Hujan Sedang,Delayed,100,Economy,Tidak,11,1680000,4
TKT-2561176,2026-04-27,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,Economy,Tidak,20,360000,8
TKT-9907391,2025-07-26,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,16,1680000,8
TKT-5217853,2025-11-30,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,19,1680000,8
TKT-9123504,2026-01-15,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Economy,Tidak,10,828000,7
TKT-4816534,2025-12-05,Jakarta - Medan (CGK-KNO),1400,Hujan Sedang,Delayed,164,Economy,Tidak,8,1680000,2
TKT-5901239,2026-04-08,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,13,1680000,7
TKT-5770422,2025-07-16,Bali - Lombok (DPS-LOP),120,Badai Petir,Cancelled,0,Business,Ya,23,504000,1
TKT-2096280,2026-03-08,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,First Class,Ya,38,2520000,10
TKT-6097514,2025-07-21,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,Economy,Tidak,9,360000,7
TKT-8558378,2025-10-23,Jakarta - Bali (CGK-DPS),980,Badai Petir,Delayed,185,Economy,Tidak,12,1176000,4
TKT-4486102,2026-03-16,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,Economy,Tidak,6,360000,9
TKT-3626181,2026-03-28,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,10,144000,9
TKT-5743227,2025-12-09,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,6,1176000,7
TKT-4318855,2025-07-08,Bali - Lombok (DPS-LOP),120,Hujan Sedang,On Time,0,Economy,Tidak,13,144000,9
TKT-2000560,2026-03-30,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,Economy,Tidak,13,360000,7
TKT-6101803,2025-09-08,Jakarta - Surabaya (CGK-SUB),690,Hujan Sedang,Delayed,175,Business,Ya,34,2898000,3
TKT-1668752,2025-07-03,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,19,144000,7
TKT-1674975,2025-12-19,Surabaya - Bali (SUB-DPS),300,Hujan Sedang,Delayed,36,Economy,Tidak,5,360000,8
TKT-9249789,2025-09-24,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Business,Ya,25,2898000,10
TKT-7906258,2025-11-18,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,8,1176000,7
TKT-6276722,2026-03-21,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,6,144000,8
TKT-8750676,2025-08-01,Jakarta - Medan (CGK-KNO),1400,Cerah,Delayed,133,Business,Ya,20,5880000,5
TKT-1865901,2025-09-21,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,Economy,Tidak,20,360000,9
TKT-5014745,2026-04-21,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Economy,Tidak,20,828000,7
TKT-8741810,2026-03-08,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,7,144000,7
TKT-5587308,2025-05-09,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Business,Ya,29,4116000,10
TKT-9526867,2026-01-28,Surabaya - Bali (SUB-DPS),300,Hujan Sedang,Delayed,92,Economy,Tidak,9,360000,5
TKT-5482413,2025-08-19,Bali - Lombok (DPS-LOP),120,Hujan Sedang,Delayed,100,Business,Ya,33,504000,6
TKT-9125900,2025-09-19,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,20,1176000,7
TKT-5006492,2025-05-13,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,15,1680000,7
TKT-7395997,2025-09-05,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,15,1680000,9
TKT-3118060,2026-04-17,Surabaya - Bali (SUB-DPS),300,Badai Petir,Cancelled,0,Economy,Tidak,9,360000,2
TKT-1257489,2025-09-14,Jakarta - Makassar (CGK-UPG),1400,Badai Petir,Delayed,112,Business,Ya,23,5880000,7
TKT-6680114,2025-12-21,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,First Class,Ya,32,1008000,10
TKT-9186400,2025-06-19,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Business,Ya,32,5880000,9
TKT-8280833,2026-03-20,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,14,1680000,7
TKT-6442103,2026-04-12,Jakarta - Bali (CGK-DPS),980,Hujan Sedang,Delayed,55,Economy,Tidak,14,1176000,6
TKT-4020853,2025-05-21,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,18,1176000,9
TKT-3401116,2025-07-11,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Economy,Tidak,12,828000,8
TKT-3650391,2025-12-09,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Economy,Tidak,5,828000,8
TKT-8664433,2025-12-28,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,18,1176000,9
TKT-7022335,2025-07-17,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,12,1680000,8
TKT-1822825,2026-05-01,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,17,1680000,8
TKT-4674286,2025-11-06,Jakarta - Makassar (CGK-UPG),1400,Hujan Sedang,Delayed,103,Business,Ya,27,5880000,7
TKT-1661401,2026-03-17,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Business,Ya,24,504000,10
TKT-6481437,2025-12-05,Jakarta - Medan (CGK-KNO),1400,Hujan Sedang,On Time,0,Economy,Tidak,9,1680000,7
TKT-5572250,2025-08-22,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Business,Ya,31,504000,10
TKT-2932227,2025-11-13,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Economy,Tidak,14,828000,9
TKT-2515030,2025-10-30,Surabaya - Bali (SUB-DPS),300,Badai Petir,Delayed,144,Economy,Tidak,17,360000,4
TKT-7232293,2025-10-22,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,Economy,Tidak,13,360000,9
TKT-2060605,2026-01-12,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,15,1176000,9
TKT-1624315,2026-04-12,Bali - Lombok (DPS-LOP),120,Hujan Sedang,Delayed,107,Economy,Tidak,8,144000,4
TKT-8031780,2025-10-28,Jakarta - Medan (CGK-KNO),1400,Badai Petir,Delayed,148,Economy,Tidak,17,1680000,3
TKT-7847048,2025-06-24,Jakarta - Makassar (CGK-UPG),1400,Hujan Sedang,On Time,0,Economy,Tidak,8,1680000,8
TKT-7162857,2026-03-16,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,12,1680000,8
TKT-8628891,2026-03-04,Jakarta - Makassar (CGK-UPG),1400,Badai Petir,Cancelled,0,Economy,Tidak,13,1680000,1
TKT-5086407,2025-11-16,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,5,1176000,7
TKT-4909069,2026-01-15,Jakarta - Surabaya (CGK-SUB),690,Hujan Sedang,On Time,0,Business,Ya,26,2898000,10
TKT-5205279,2025-08-02,Jakarta - Medan (CGK-KNO),1400,Hujan Sedang,Delayed,30,Economy,Tidak,9,1680000,6
TKT-6431983,2025-07-08,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Economy,Tidak,16,828000,7
TKT-8990081,2026-04-03,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,8,1176000,9
TKT-9748499,2026-04-13,Surabaya - Bali (SUB-DPS),300,Hujan Sedang,Delayed,57,Economy,Tidak,12,360000,8
TKT-2811298,2025-05-19,Jakarta - Medan (CGK-KNO),1400,Cerah,Delayed,45,First Class,Ya,42,11760000,9
TKT-5614002,2026-03-02,Surabaya - Bali (SUB-DPS),300,Hujan Sedang,Delayed,50,Economy,Tidak,9,360000,6
TKT-8217547,2025-08-20,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,14,1680000,8
TKT-4833486,2025-09-16,Jakarta - Bali (CGK-DPS),980,Hujan Sedang,On Time,0,Economy,Tidak,11,1176000,8
TKT-6243275,2025-09-29,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,Economy,Tidak,8,360000,8
TKT-2620082,2025-09-26,Bali - Lombok (DPS-LOP),120,Cerah,Delayed,151,Economy,Tidak,7,144000,2
TKT-7892225,2026-03-04,Bali - Lombok (DPS-LOP),120,Hujan Sedang,Delayed,172,Economy,Tidak,15,144000,4
TKT-6242022,2025-07-02,Jakarta - Medan (CGK-KNO),1400,Hujan Sedang,Delayed,138,Business,Ya,21,5880000,4
TKT-6873938,2026-03-11,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,20,1680000,7
TKT-1440466,2025-06-21,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,18,1680000,9
TKT-6183902,2025-05-11,Jakarta - Makassar (CGK-UPG),1400,Badai Petir,Cancelled,0,Economy,Tidak,10,1680000,2
TKT-1514340,2026-02-22,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,17,1680000,7
TKT-6228407,2025-10-28,Jakarta - Bali (CGK-DPS),980,Hujan Sedang,On Time,0,Economy,Tidak,15,1176000,7
TKT-1834876,2025-06-23,Bali - Lombok (DPS-LOP),120,Cerah,Delayed,51,Business,Ya,24,504000,7
TKT-4616647,2025-12-17,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,19,144000,8
TKT-6174418,2025-05-29,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,20,1680000,9
TKT-5286905,2026-02-24,Jakarta - Bali (CGK-DPS),980,Cerah,Delayed,44,Economy,Tidak,14,1176000,6
TKT-9935249,2025-10-23,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,10,1680000,7
TKT-1709714,2025-10-14,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,16,144000,7
TKT-8007741,2025-06-12,Surabaya - Bali (SUB-DPS),300,Cerah,Delayed,110,Economy,Tidak,17,360000,6
TKT-2478574,2025-11-01,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,19,1680000,9
TKT-6696087,2025-11-28,Surabaya - Bali (SUB-DPS),300,Hujan Sedang,On Time,0,Economy,Tidak,7,360000,8
TKT-4253164,2025-08-17,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Economy,Tidak,8,828000,9
TKT-3910830,2026-01-24,Jakarta - Medan (CGK-KNO),1400,Cerah,Delayed,67,Economy,Tidak,9,1680000,5
TKT-8531380,2025-07-21,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,20,1680000,8
TKT-2145653,2025-09-22,Bali - Lombok (DPS-LOP),120,Badai Petir,Delayed,169,First Class,Ya,40,1008000,4
TKT-2244712,2025-08-19,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,Economy,Tidak,6,360000,8
TKT-2514923,2025-06-09,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,14,1680000,7
TKT-4158134,2025-07-17,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,6,1680000,8
TKT-2414808,2025-11-11,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,First Class,Ya,44,11760000,9
TKT-3663319,2025-08-11,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,19,1680000,9
TKT-1878547,2025-07-03,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,15,1680000,9
TKT-3522845,2025-12-27,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,17,144000,8
TKT-7575963,2025-05-13,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Business,Ya,29,5880000,10
TKT-9831414,2025-05-27,Jakarta - Surabaya (CGK-SUB),690,Cerah,Delayed,109,Economy,Tidak,15,828000,4
TKT-4593556,2026-02-02,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,16,1176000,8
TKT-9833734,2025-08-19,Jakarta - Medan (CGK-KNO),1400,Badai Petir,Delayed,121,Economy,Tidak,14,1680000,2
TKT-4034091,2026-02-11,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,17,1176000,7
TKT-4985095,2025-10-31,Bali - Lombok (DPS-LOP),120,Hujan Sedang,Delayed,72,Economy,Tidak,6,144000,5
TKT-6192009,2026-01-03,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,Business,Ya,27,1260000,10
TKT-9849306,2025-08-21,Surabaya - Bali (SUB-DPS),300,Badai Petir,Delayed,220,Economy,Tidak,14,360000,3
TKT-9062973,2026-04-09,Surabaya - Bali (SUB-DPS),300,Badai Petir,Cancelled,0,Business,Ya,24,1260000,2
TKT-3689594,2026-03-24,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Business,Ya,23,5880000,9
TKT-6865064,2025-09-17,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Business,Ya,22,5880000,8
TKT-4767135,2025-10-26,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,17,1176000,7
TKT-1642620,2026-02-24,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,15,1176000,7
TKT-2329187,2026-05-03,Jakarta - Medan (CGK-KNO),1400,Badai Petir,Delayed,119,Economy,Tidak,19,1680000,6
TKT-4986941,2025-12-09,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,18,1176000,7
TKT-9385742,2026-03-10,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,19,1680000,7
TKT-1026245,2025-09-28,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,9,1680000,8
TKT-2135470,2025-11-02,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,7,1680000,9
TKT-1730386,2025-09-07,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,5,1680000,8
TKT-5045421,2025-11-10,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,16,144000,7
TKT-6910597,2026-04-13,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,15,144000,7
TKT-4058117,2025-09-02,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Business,Ya,34,5880000,10
TKT-4346548,2026-04-13,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Economy,Tidak,14,828000,7
TKT-4206183,2026-04-17,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,20,1176000,8
TKT-7174337,2026-03-03,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Business,Ya,30,5880000,9
TKT-9347057,2025-05-16,Surabaya - Bali (SUB-DPS),300,Hujan Sedang,Delayed,128,Economy,Tidak,10,360000,3
TKT-5928582,2026-02-02,Jakarta - Medan (CGK-KNO),1400,Badai Petir,Delayed,104,Economy,Tidak,18,1680000,6
TKT-3795835,2025-09-29,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,19,1680000,9
TKT-5606274,2025-09-25,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,16,144000,9
TKT-3684131,2025-08-16,Bali - Lombok (DPS-LOP),120,Badai Petir,Cancelled,0,Economy,Tidak,17,144000,2
TKT-4959345,2026-04-01,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Business,Ya,21,4116000,8
TKT-7223751,2025-09-17,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,9,144000,9
TKT-5675638,2025-11-26,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,16,1680000,8
TKT-8487220,2025-12-23,Jakarta - Surabaya (CGK-SUB),690,Badai Petir,Delayed,122,Economy,Tidak,8,828000,3
TKT-8467726,2026-02-06,Jakarta - Surabaya (CGK-SUB),690,Badai Petir,Delayed,191,Economy,Tidak,7,828000,3
